method,sigma_case,sigma,realization,phi,energy,fr_revenue,demand,peak_kW
perfect_info,undiscounted,1.0,21,291985.11,-1266.89,4651.05,297903.06,14895.15
deterministic,undiscounted,1.0,22,334648.36,30.59,3422.41,338040.19,16902.01
stochastic,undiscounted,1.0,22,330030.36,-117.53,1566.96,331714.86,16585.74
perfect_info,undiscounted,1.0,22,314592.3,-1092.01,4636.97,320321.28,16016.06
deterministic,undiscounted,1.0,23,308698.61,118.8,3601.95,312181.75,15609.09
stochastic,undiscounted,1.0,23,312314.72,-68.75,1455.92,313839.39,15691.97
perfect_info,undiscounted,1.0,23,299600.0,-1121.15,4863.28,305584.43,15279.22
deterministic,undiscounted,1.0,24,311544.57,137.62,3491.3,314898.25,15744.91
stochastic,undiscounted,1.0,24,318776.39,-25.04,1424.0,320225.43,16011.27
perfect_info,undiscounted,1.0,24,296995.56,-1149.18,4645.94,302790.67,15139.53
deterministic,undiscounted,1.0,25,327922.79,-108.32,3532.7,331563.81,16578.19
stochastic,undiscounted,1.0,25,327388.7,-127.54,1569.63,329085.86,16454.29
perfect_info,undiscounted,1.0,25,316941.67,-1200.58,4784.23,322926.48,16146.32
deterministic,undiscounted,1.0,26,341846.16,-128.16,3491.8,345466.12,17273.31
stochastic,undiscounted,1.0,26,334490.41,-115.6,1641.81,336247.83,16812.39
perfect_info,undiscounted,1.0,26,321542.05,-1127.29,4796.79,327466.12,16373.31
deterministic,undiscounted,1.0,27,334720.08,68.96,3449.89,338101.0,16905.05
stochastic,undiscounted,1.0,27,327649.0,54.43,1561.59,329156.16,16457.81
perfect_info,undiscounted,1.0,27,314409.33,-1027.71,4653.27,320090.3,16004.52
deterministic,undiscounted,1.0,28,329462.51,119.99,3489.66,332832.18,16641.61
stochastic,undiscounted,1.0,28,335522.73,-59.47,1554.02,337136.22,16856.81
perfect_info,undiscounted,1.0,28,317546.44,-1190.22,4485.9,323222.56,16161.13
deterministic,undiscounted,1.0,29,339643.49,-149.53,3431.65,343224.66,17161.23
stochastic,undiscounted,1.0,29,338184.41,-116.74,1634.66,339935.81,16996.79
perfect_info,undiscounted,1.0,29,322711.59,-1165.41,4643.85,328520.86,16426.04
deterministic,discounted,4.285714285714286,0,318291.25,-130.01,3498.45,321919.72,16095.99
stochastic,discounted,4.285714285714286,0,322389.79,-75.33,1548.26,324013.39,16200.67
perfect_info,discounted,4.285714285714286,0,316386.36,-1279.52,4602.73,322268.61,16113.43
deterministic,discounted,4.285714285714286,1,342633.53,176.8,3470.26,345926.98,17296.35
stochastic,discounted,4.285714285714286,1,332973.34,-88.49,1568.09,334629.93,16731.5
perfect_info,discounted,4.285714285714286,1,324616.15,-1171.92,4560.62,330348.69,16517.43
deterministic,discounted,4.285714285714286,2,318835.27,71.93,3499.77,322263.11,16113.16
stochastic,discounted,4.285714285714286,2,320833.14,-132.92,1575.04,322541.11,16127.06
perfect_info,discounted,4.285714285714286,2,301604.0,-1125.65,4811.45,307541.11,15377.06
deterministic,discounted,4.285714285714286,3,328761.21,-5.77,3384.88,332151.85,16607.59
stochastic,discounted,4.285714285714286,3,330940.03,-87.61,1564.23,332591.87,16629.59
perfect_info,discounted,4.285714285714286,3,318677.43,-1202.21,4615.8,324495.44,16224.77
